"Design","Ontwerp"
"Shopname","Winkelnaam"
"Show Stars","Toon Sterren"
"Show Link to Kiyoh","Toon link naar Kiyoh"
"Kiyoh Link","Kiyoh link"
"on","op"
"Shop ID","Winkel ID"
"Rating %s based on %s customer reviews","Beoordeling %s gebaseerd op %s individuele klant beoordelingen"
"Use: {{block type=""kiyohsnippets/snippets" name=""kiyohsnippets""}} to call the block on the homepage","Gebruik: {{block type=""kiyohsnippets/snippets"" name=""kiyohsnippets""}} om het Rich Snippets blok op de homepage te plaatsen"
